EventID,OptimizedTime
100,470.0
101,470.0
102,470.0
103,470.0
104,470.0
105,470.0
106,470.0
107,470.0
108,470.0
109,470.0
110,470.0
111,470.0
112,470.0
113,470.0
114,470.0
115,470.0
116,470.0
117,470.0
118,470.0
119,470.0
120,470.0
121,470.0
122,470.0
123,470.0
124,470.0
125,470.0
126,470.0
127,470.0
128,470.0
129,470.0
130,470.0
131,470.0
132,470.0
133,470.0
134,470.0
135,470.0
136,470.0
137,470.0
138,470.0
139,470.0
140,470.0
141,470.0
142,470.0
143,470.0
144,470.0
145,470.0
146,470.0
147,470.0
148,470.0
149,470.0
150,470.0
151,470.0
152,470.0
153,470.0
154,470.0
155,470.0
156,470.0
157,470.0
158,470.0
159,470.0
160,470.0
161,470.0
162,470.0
163,470.0
164,470.0
165,470.0
166,470.0
167,470.0
168,470.0
169,470.0
170,470.0
171,470.0
172,470.0
173,470.0
174,470.0
175,470.0
176,470.0
177,470.0
178,470.0
179,470.0
180,470.0
181,470.0
182,470.0
183,470.0
184,470.0
185,470.0
186,470.0
187,470.0
188,470.0
189,470.0
190,470.0
191,470.0
192,470.0
193,470.0
194,470.0
195,470.0
196,470.0
197,470.0
198,470.0
199,470.0
200,470.0
201,470.0
202,470.0
203,470.0
204,470.0
205,470.0
206,470.0
207,470.0
208,470.0
209,470.0
210,470.0
211,470.0
212,470.0
213,470.0
214,470.0
215,470.0
216,470.0
217,470.0
218,470.0
219,470.0
220,470.0
221,470.0
222,470.0
223,470.0
224,470.0
225,470.0
226,470.0
227,470.0
228,470.0
229,470.0
230,470.0
231,470.0
232,470.0
233,470.0
234,470.0
235,470.0
236,470.0
237,470.0
238,470.0
239,470.0
240,470.0
241,470.0
242,470.0
243,470.0
244,470.0
245,470.0
246,470.0
247,470.0
248,470.0
249,470.0
250,470.0
251,470.0
252,470.0
253,470.0
254,470.0
255,470.0
256,470.0
257,470.0
258,470.0
259,470.0
260,470.0
261,470.0
262,470.0
263,470.0
264,470.0
265,470.0
266,470.0
267,470.0
268,470.0
269,470.0
270,470.0
271,470.0
272,470.0
273,470.0
274,470.0
275,470.0
276,470.0
277,470.0
278,470.0
279,470.0
280,470.0
281,470.0
282,470.0
283,470.0
284,470.0
285,470.0
286,470.0
287,470.0
288,470.0
289,470.0
290,470.0
291,470.0
292,470.0
293,470.0
294,470.0
295,470.0
296,470.0
297,470.0
298,470.0
299,470.0
300,470.0
301,470.0
302,470.0
303,470.0
304,470.0
305,470.0
306,470.0
307,470.0
308,470.0
309,470.0
310,470.0
311,470.0
312,470.0
313,470.0
314,470.0
315,470.0
316,470.0
317,470.0
318,470.0
319,470.0
320,470.0
321,470.0
322,470.0
323,470.0
324,470.0
325,470.0
326,470.0
327,470.0
328,470.0
329,470.0
330,470.0
331,470.0
332,470.0
333,470.0
334,470.0
335,470.0
336,470.0
337,470.0
338,470.0
339,470.0
340,470.0
341,470.0
342,470.0
343,470.0
344,470.0
345,470.0
346,470.0
347,470.0
348,470.0
349,470.0
350,470.0
351,470.0
20000,480.0
20001,480.0
20002,483.0
20003,483.0
20004,483.0
20005,483.0
20006,486.0
20007,480.0
20008,480.0
20009,486.0
20010,486.0
20011,489.0
20012,489.0
20013,489.0
20014,489.0
20015,483.0
20016,483.0
20017,483.0
20018,486.0
20019,480.0
20020,480.0
20021,486.0
20022,486.0
20023,480.0
20024,480.0
20025,483.0
20026,480.0
20027,480.0
20028,492.0
20029,498.0
20030,498.0
20031,483.0
20032,492.0
20033,492.0
20034,487.0
20035,487.0
20036,489.0
20037,489.0
20038,492.0
20039,490.0
20040,490.0
20041,492.0
20042,492.0
20043,493.0
20044,493.0
20045,495.0
20046,495.0
20047,495.0
20048,496.0
20049,496.0
20050,498.0
20051,555.0
20052,495.0
20053,495.0
20054,495.0
20055,501.0
20056,504.0
20057,504.0
20058,513.0
20059,519.0
20060,500.0
20061,500.0
20062,501.0
20063,501.0
20064,501.0
20065,503.0
20066,503.0
20067,504.0
20068,567.0
20069,500.0
20070,500.0
20071,500.0
20072,504.0
20073,513.0
20074,507.0
20075,507.0
20076,507.0
20077,507.0
20078,507.0
20079,507.0
20080,510.0
20081,510.0
20082,510.0
20083,582.0
20084,594.0
20085,510.0
20086,516.0
20087,516.0
20088,516.0
20089,525.0
20090,525.0
20091,561.0
20092,585.0
20093,528.0
20094,531.0
20095,582.0
20096,582.0
20097,516.0
20098,525.0
20099,525.0
20100,528.0
20101,510.0
20102,513.0
20103,513.0
20104,513.0
20105,513.0
20106,513.0
20107,528.0
20108,528.0
20109,531.0
20110,510.0
20111,510.0
20112,522.0
20113,522.0
20114,522.0
20115,522.0
20116,510.0
20117,510.0
20118,510.0
20119,513.0
20120,513.0
20121,516.0
20122,516.0
20123,516.0
20124,519.0
20125,519.0
20126,519.0
20127,519.0
20128,516.0
20129,516.0
20130,519.0
20131,519.0
20132,591.0
20133,520.0
20134,534.0
20135,537.0
20136,564.0
20137,564.0
20138,564.0
20139,564.0
20140,523.0
20141,525.0
20142,528.0
20143,528.0
20144,531.0
20145,534.0
20146,537.0
20147,520.0
20148,522.0
20149,522.0
20150,522.0
20151,522.0
20152,543.0
20153,546.0
20154,525.0
20155,525.0
20156,531.0
20157,540.0
20158,549.0
20159,534.0
20160,540.0
20161,540.0
20162,530.0
20163,534.0
20164,534.0
20165,540.0
20166,555.0
20167,555.0
20168,555.0
20169,527.0
20170,531.0
20171,531.0
20172,534.0
20173,534.0
20174,537.0
20175,552.0
20176,536.0
20177,543.0
20178,567.0
20179,576.0
20180,576.0
20181,576.0
20182,576.0
20183,533.0
20184,537.0
20185,537.0
20186,537.0
20187,537.0
20188,588.0
20189,588.0
20190,540.0
20191,540.0
20192,552.0
20193,573.0
20194,573.0
20195,573.0
20196,573.0
20197,546.0
20198,564.0
20199,579.0
20200,579.0
20201,579.0
20202,579.0
20203,540.0
20204,540.0
20205,543.0
20206,543.0
20207,549.0
20208,549.0
20209,561.0
20210,561.0
20211,561.0
20212,543.0
20213,549.0
20214,549.0
20215,552.0
20216,552.0
20217,555.0
20218,555.0
20219,543.0
20220,543.0
20221,543.0
20222,567.0
20223,567.0
20224,567.0
20225,567.0
20226,558.0
20227,558.0
20228,558.0
20229,540.0
20230,540.0
20231,549.0
20232,549.0
20233,552.0
20234,546.0
20235,558.0
20236,558.0
20237,558.0
20238,552.0
20239,561.0
20240,570.0
20241,570.0
20242,570.0
20243,570.0
20244,570.0
20245,543.0
20246,546.0
20247,546.0
20248,546.0
20249,546.0
20250,585.0
20251,585.0
